City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Description
0,Cape Town,ZA,-33.9258,18.4232,61.11,75,4.61,fog
1,Ushuaia,AR,-54.8,-68.3,36.12,83,6.8,broken clouds
2,Kieta,PG,-6.2167,155.6333,85.05,96,4.36,overcast clouds
3,Constitucion,CL,-35.3333,-72.4167,54.64,25,12.62,scattered clouds
4,Mataura,NZ,-46.1927,168.8643,56.26,75,3.49,broken clouds
5,Busselton,AU,-33.65,115.3333,58.41,0,9.33,clear sky
6,Atuona,PF,-9.8,-139.0333,79.34,32,16.02,scattered clouds
7,Lorengau,PG,-2.0226,147.2712,84.42,18,5.39,few clouds
8,Iqaluit,CA,63.7506,-68.5145,4.98,12,7.18,few clouds
9,Saint-Georges,GD,12.0564,-61.7485,80.28,20,20.71,few clouds
10,Chinsali,ZM,-10.5414,32.0816,61.27,78,4.27,broken clouds
11,Saint George,US,37.1041,-113.5841,58.62,0,12.66,clear sky
12,Albany,US,42.6001,-73.9662,59.41,23,6.17,few clouds
13,Itarema,BR,-2.9248,-39.9167,77.68,96,7.94,overcast clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,57.09,0,8.05,clear sky
15,Poronaysk,RU,49.2167,143.1167,31.26,95,7.7,overcast clouds
16,Altay,CN,47.8667,88.1167,36.64,1,8.08,clear sky
17,Hilo,US,19.7297,-155.09,82.27,75,3.44,light rain
18,East London,ZA,-33.0153,27.9116,67.98,100,2.21,light rain
19,Yellowknife,CA,62.456,-114.3525,15.42,99,7.45,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,65.71,23,5.01,few clouds
21,Porosozero,RU,62.7191,32.727,30.58,100,0.96,overcast clouds
22,Faanui,PF,-16.4833,-151.75,81.84,12,13.51,light rain
23,Saskylakh,RU,71.9167,114.0833,-7.85,98,4.63,overcast clouds
24,Gwembe,ZM,-16.4975,27.6069,61.9,38,2.33,scattered clouds
25,Havelock,US,34.8791,-76.9013,70.99,18,8.01,few clouds
26,Victoria,HK,22.2855,114.1577,81.18,9,4.0,clear sky
27,Asau,RO,46.4333,26.4,38.32,65,5.32,broken clouds
28,Tasiilaq,GL,65.6145,-37.6368,24.96,98,7.2,overcast clouds
29,Laguna,US,38.421,-121.4238,65.14,75,4.61,broken clouds
30,Sorland,NO,67.667,12.6934,38.79,62,9.06,broken clouds
31,Bima,ID,-8.4667,118.7167,80.53,42,3.09,scattered clouds
32,Roald,NO,62.5833,6.1333,41.76,100,4.61,overcast clouds
33,Cheremshan,RU,54.6667,51.5,41.59,6,3.83,clear sky
